update,env_steps,episodic_return,total_loss,value_loss,actor_loss,entropy,task_reward_mean,task_reward_std,goal_reward_mean,goal_reward_std,task_reward_running_mean,task_reward_running_std,goal_reward_running_mean,goal_reward_running_std,learning_rate,obs_norm_mean,obs_norm_var,train_goal_success_rate,rnd_reward_mean,rnd_reward_std,rnd_raw_intrinsic_mean,rnd_rew_running_std,rnd_predictor_loss,icm_reward_mean,icm_reward_std,icm_raw_intrinsic_mean,icm_rew_running_std,icm_loss,eval_success_rate,eval_episodic_return,eval_oracle_return,LR,NUM_ENVS,NUM_STEPS,TOTAL_TIMESTEPS,UPDATE_EPOCHS,NUM_MINIBATCHES,GAMMA,GAE_LAMBDA,CLIP_EPS,ENT_COEF,VF_COEF,HIDDEN_DIM,MAX_GRAD_NORM,ACTIVATION,ENV_NAME,ENV_BACKEND,EPISODE_LENGTH,ACTION_REPEAT,ENV_KWARGS,ANNEAL_LR,NORMALIZE_ENV,DEBUG,SEED,WANDB_MODE,ENTITY,PROJECT,EVAL_RENDER_STEPS,EVAL_RENDER_MAX_FRAMES,EVAL_RENDER_HEIGHT,EVAL_RENDER_LOG_WANDB_HTML,TRAIN_RENDER_FREQ,EVAL_FREQ,EVAL_NUM_ENVS,COMMENT,ADD_GOAL_REWARD,USE_ORACLE_REWARD,ORACLE_REWARD_COEF,CONDITION_ON_GOAL,GOAL_REACH_EPSILON,SAVE_MODEL,checkpoint_dir,USE_RND,RND_COEF,RND_LR,RND_HIDDEN_DIM,RND_OUTPUT_DIM,USE_ICM,ICM_COEF,ICM_LR,ICM_HIDDEN_DIM,ICM_FEATURE_DIM,ICM_BETA,TASK_REWARD_COEF,LOG_CSV,CSV_LOG_FREQ,GPU_NAME,EXP_DIR,run_id
124,64000,0.0,-0.0404473170638084,3.830798596027307e-05,-0.0404664725065231,11.046136856079102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002996190742123,0.9058167934417723,5.474515914916992,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
130,66560,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
140,72192,0.0,-0.044368240982294,3.0848121241433546e-05,-0.04438366740942,10.990182876586914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995699178427,0.9009042382240297,5.298902988433838,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
140,71680,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
150,76800,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
156,80384,0.0,-0.0424637496471405,3.41234372172039e-05,-0.0424808114767074,10.981901168823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995207614731,0.8954887390136719,5.156083583831787,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
160,81920,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
170,87040,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
171,88064,0.0,-0.0435989871621131,1.7878195649245754e-05,-0.0436079278588295,11.03643798828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002994746901094,0.8949934244155884,5.075149059295654,0.0,,,,,,,,,,,,,,0.0003,8,64,50000000,4,16,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,10,online,,purejaxrl,300,1000,360,1,200,10,50,,0,0,1.0,0,0.5,0,checkpoints,0,1.0,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Tesla V100-SXM2-32GB-LS,/network/scratch/f/faisal.mohamed/purejaxrl/coherent_804327976,coherent_804327976
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0003,256,64,350000000,4,8,0.99,0.8,0.2,0.0,0.5,256,1.0,tanh,ant_u_maze_single_goal,,1000,1,{},1,1,0,75937,online,,purejaxrl_ant_u_maze_single_goal_no_teacher_rnd_baseline,300,1000,360,1,200,10,50,no_teacher_rnd_baseline,0,0,1.0,0,0.5,1,checkpoints,1,0.01,0.0001,256,128,0,1.0,0.0001,256,128,0.2,1.0,1,1,Quadro RTX 8000,/network/scratch/f/faisal.mohamed/purejaxrl/counter-force_127766256,counter-force_127766256
